idx	score	sentence1	sentence2
40	1.2697033882141113	Yes  there is a reason to not do what you propose.	Valid reasons to feel the way you do  but not a reason to resign.
41	2.9585301876068115	Barbini's comments came Tuesday  the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.	U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
42	2.3816263675689697	It varies by the situation.	This varies by institution.
43	3.6604771614074707	This is a very unusual request.	This sounds a bit unusual.
44	1.0724612474441528	Two men wearing traditional clothing is standing outside.	Three women wearing black vests and gray shirts are talking outside of a building.
45	3.4773645401000977	A black and white dog is jumping into the water.	a white dog runs across the water.
46	3.473214864730835	A young laughing girl and a boy are playing on a big drum.	A baby girl and little boy are standing next to a guitar and a drum.
47	2.5910167694091797	I would look at this: U.S.	I would look at this way: 
48	3.9760375022888184	Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.	Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.
49	0.14095276594161987	Two men are dancing together.	A woman opens a closet.
50	2.4556052684783936	Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.	State officials estimated the cost at nearly $2 billion.
51	3.23352313041687	Second comes HP (27 percent with $2.9 billion  up just 0.4 percent).	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
52	2.8623416423797607	A  man is dancing.	A man and woman is dancing.
53	4.447227478027344	Some men are sawing.	Men are sawing logs.
54	2.331956386566162	Yes  there is a reason for it.	Yes  that is exactly what it means.
55	1.5697882175445557	That's what I believe.	Yes  I believe it's a good idea.
56	3.6591556072235107	The birds are swimming in the water.	Birds fly low over water.
57	2.3534908294677734	He refused to reveal what percentage of flights carried sky marshals  or whether they would be increased.	He refused to say what percentage of domestic flights had security officers on board.
58	0.2906458079814911	A child wearing blue and white shorts is jumping in the surf.	A girl wearing green twists something in her hands.
59	3.557725667953491	You should do it.	You should do what it says.
60	3.97550630569458	Sayliyah was the command base for the Iraq war  but Central Command sent hundreds who ran the war back home to Tampa  Florida.	As Sayliyah was the command base for the Iraq war  but hundreds who ran the war have returned to the United States.
61	2.103837728500366	A man is cutting apple by his hand.	A man is cutting carpet with a knife.
62	3.9579415321350098	I agree with the other comments.	I agree with the previous comments.
63	4.492738246917725	Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer  a British study of more than a million women has found.	A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer  especially when women receive a combination of estrogen and progestin.
64	3.7045328617095947	A yellow bird is eating fruit on a wire grate.	A yellow bird eating fruit on a bird feeder.
65	2.7947559356689453	A person is peeling a potato with a potato peeler.	A man is cutting tomatoes with a cleaver.
66	0.63030606508255	A woman in a plaid outfit is looking through a bag of produce.	This is the picture of a woman in a flowered dress  toting something in a bucket.
67	1.9271684885025024	The answers so far are already good  but I'd like to add a map for Switzerland:	You have a lot of answers already  but I'd like to add Curries as another solutions.
68	3.366091012954712	In addition  primary care trusts (PCTs) were given star ratings for the first time this year.	Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.
69	1.445216178894043	There are two ways to start with: plunging and dripping.	There are two traditional ways to bend wood:
70	3.0529234409332275	Older woman holding newborn baby.	a woman sitting on a sofa holding a baby.
71	3.004840850830078	There are a few things you can do: 	There are a few minimally-effective things you can do at the personal level.
72	0.9592288136482239	I have the same thing.	I had the same problem as you.
73	1.4011218547821045	You are on the right path.	You're right on about the sample definition.
74	2.6011571884155273	Primer/paint will not work.	Nope that will not work.
75	0.23881419003009796	Two animals sitting on a rock.	The brown train is sitting on the railroad tracks.
76	2.722386360168457	a man working at the steel mill	A man working in a foundry.
77	4.020480155944824	Sean Harrigan  president of the California Public Employees' Retirement System  also suggested paring down the NYSE's 27-member board  changing its composition and making it more accountable.	Sean Harrigan  president of the California Public Employees' Retirement System  also suggested paring the NYSE's 27-member board and allotting more seats to investors outside the securities industry.
78	4.8033342361450195	Two dogs and one cat sitting on couch.	Two dogs and a cat resting on a couch.
79	2.2190656661987305	A black and white dog runs through the water.	Black and brown dog runs through field.
80	2.086825370788574	There are a few things I think you should do.	There are a few things I don't understand:
81	3.3620810508728027	A soldier walks a dog.	A man walks a dog.
82	2.2166085243225098	I have the same thing.	I have the same problem.
83	1.2528462409973145	It's all in her head.	It's all about adhesion.
84	2.3583786487579346	The American conservatives are clearly in the minority within the Episcopal Church.	The letter indicates the Vatican's interest in bolstering conservatives within the Episcopal Church.
85	4.432687759399414	It probably depends on the cut of meat.	It depends on the meat and how it's cut.
86	4.006614685058594	You answered your own question.	You've answered your own question already.
87	4.8187384605407715	The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.	The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.
88	5.020468235015869	Two green and white trains sitting on the tracks.	Two green and white trains are sitting on the train track.
89	0.23658955097198486	A man is doing exercise.	A baby is laughing.
90	2.9552907943725586	"""The report cites the marriage of the alleged operational commander of the Bali bombings  Mukhlas  to Farida  a """"highly cosmopolitan and well-educated young woman""""."""	The report cites the marriage of the alleged operational commander of the Bali bombings  Mukhlas  as an example of how JI uses marriage to grow.
91	2.4393727779388428	It depends on what you want to have in your tank.	i think it depends what you want:
92	4.270806312561035	A brown duck and white duck stand on the grass.	Brown and white ducks walking on green grass.
93	2.0305466651916504	There are four people outside.	Five people are outside.
94	3.557199716567993	Red and white bus driving down road.	A bus drives down a busy road.
95	4.303861618041992	A person is scrubbing a zucchini.	A woman is scrubbing a zucchini with a vegetable brush.
96	4.943674087524414	It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq  Defense Secretary Donald H. Rumsfeld said Tuesday.	Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.
97	2.2524755001068115	Some of what you can do:	Not much you can do besides:
98	3.025857448577881	Lawtey is not the first faith-based program in Florida's prison system.	But Lawtey is the first entire prison to take that path.
99	3.1062159538269043	Four children on stools in a diner.	Four children sit on tall bar stools at a yellow and grey bar.
100	2.216639518737793	Someone is slicing two uncooked racks of ribs apart.	Someone is cutting a piece of meat.
101	2.1561317443847656	Two women sitting in chairs in a shop.	Two women are sitting in a cafe.
102	0.2517329156398773	A train is moving.	A man is doing yoga.
103	3.4115920066833496	MediaQ's customers include major handheld makers Mitsubishi  Siemens  Palm  Sharp  Philips  Dell and Sony.	Nvidia will take advantage of MediaQ customers  which include such players as Siemens AG  Sharp  Philips  Dell  Mitsubishi and Sony Corp.
104	3.598024368286133	The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.	The Swedish central bank  also meeting on Wednesday  is widely expected to announce a cut on Thursday of as much as half a percentage point.
105	1.5210063457489014	A man is playing a guitar.	A man is playing a trumpet.
106	0.1292467564344406	A woman is frying ground meat.	A man is cutting a trunk with an axe.
107	2.8098063468933105	The man is throwing knives at a tree.	A man is throwing blades into a close target outside.
108	4.010891914367676	But in the first 30 seconds after Young entered the ring  the family knew it was an uneven match  Meyers said.	But in the first 30 seconds of the bout  family members knew it was an uneven match  Jodie Meyers  Stacy Young's sister  said.
109	3.0144782066345215	This is the tip I find most useful:	Something like this is useful:  
110	0.7158926725387573	There's also what the string is made of.	There is also a Youtube-Version of the film.
111	0.7651009559631348	A woman is dancing near a fire.	A woman is cutting a tomatoe.
112	4.863329887390137	There are three options:	There are only three options:
113	4.551403999328613	A man is playing a guitar.	A man is singing while playing the guitar.
114	2.747157096862793	A woman is cutting tofu.	A woman is cutting an onion.
115	3.435724973678589	Two people ride their bikes down a dirt road.	Two people riding their bikes on a hill.
116	1.8603020906448364	In the first case  I think you don't need it.	So I don't think you need to put it on the cover.
117	2.612351655960083	I think it is depends on the program.	It depends on how the term is used I think.
118	3.683744192123413	The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.	BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.
119	2.5105552673339844	Work into it slowly.	It seems to work.
120	4.965510368347168	A black and white photo of a man driving a car and someone with a motorcycle.	A black and white photo of a man in a classic car and a man with a classic motorcycle.
121	3.093447208404541	A man and a woman walk with a white dog on a leash.	A man  woman and dog walk down a paved road.
122	1.844220757484436	It's also a matter of taste.	It's definitely just a matter of preference.
123	1.763171672821045	A female DJ holds up a Michael Jackson album.	a girl holding a picture of Michael Jackson smiling
124	2.9339542388916016	Its keywords are supported by Chinese language Web portals.	Chinese language Web portals also support 3721 keywords  the Web site said.
125	1.2177505493164062	You need to read a lot to know what you like and what you don't.	You have to know what you want to do.
126	4.230072498321533	The man is using a camera to hammer a nail.	Someone is banging a camera lense against a nail.
127	2.661186933517456	The security official's backup couldn't fill in because he was on active military duty  Strutt said.	The security official's backup was on active duty  and the lottery association didn't have a replacement in New Jersey  Strutt said.
128	3.5338568687438965	Saddam is gone  but we want the (U.S.) occupation to end  said Hit resident Abu Qasim.	Saddam is gone  but we want the (U.S.) occupation to end.
129	4.129382610321045	A young person  deep in thought.	A young man deep in thought.
130	2.0291693210601807	You have a problem.	This is a big problem.
131	4.199552536010742	The people are lifting bags.	Several people are carrying large bags.
132	1.1773439645767212	A brown and white cow in a field looking into the camera.	The black and white cat is looking up at the camera.
133	3.95487117767334	Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich  Germany  to increase profitability.	Sony Ericsson also said it plans to close its R&D site in Munich  Germany  for GSM and UMTS handsets.
134	2.6738219261169434	I have few suggestions for you:	I have two suggestions for you:
135	1.427609920501709	Two dogs playing in snow.	Two dogs playing in grass.
136	2.2005410194396973	Two black dogs are jumping and playing with a yellow tennis ball in the snow.	A brown dog and a black dog playing with a yellow soccer ball.
137	1.8531148433685303	A woman is playing an electric guitar.	A man is playing an acoustic guitar.
138	3.51649808883667	It later emerged that he had broken his right thigh and bones in his right wrist and elbow.	Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.
139	2.972653865814209	The American Express Corp. has pledged at least $3 million of more than $5 million needed.	The city had requested federal funds  but withdrew that request when American Express pledged at least $3 million.
140	3.60675048828125	A large pile of wooden items piled high.	A large pile of scrap wood.
141	4.008365631103516	"""According to SunnComm's Peter Jacobs  """"MediaMax performs exactly as 'advertised' to the companies who purchased it."""	"""MediaMax performs EXACTLY as advertised"""" to the companies who purchased it  Jacobs said in the statement."""
142	4.753060817718506	Take a look at these:	Take a look at this: 
143	2.0564870834350586	The girl has a driver's license	A man has a driver's license.
144	3.8089089393615723	There are a few things I think you should do.	There are quite a few things you would need to do;
145	3.3198082447052	The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.	A leading U.K. medical journal called Friday for a complete ban on tobacco  prompting outrage from smokers' groups.
146	3.3376569747924805	A man in a white shirt and hat playing a guitar.	A man in a green shirt and black hat playing a guitar on stage.
147	4.392566204071045	There are a total of 659 women enrolled at the academy  the report said.	There were 659 women enrolled at the academy at the time of the survey.
148	3.1601085662841797	I don't see why there should be any problem with this whatsoever.	I don't see why that should be a problem.
149	2.412182331085205	A dog is running through a pond	A pale dog is running along a dirt path.
150	1.825523853302002	The answer to both questions is: Yes.	If the answer to any of these questions is yes  a PhD may be worthwhile for you.
151	0.3607456386089325	Meat is being put into a skillet.	A woman is putting a baby into a trash can.
152	1.5210063457489014	A man is playing a guitar.	A man is playing a trumpet.
153	2.7522130012512207	You might have to try a variety before you find one that clicks with him.	My advice would be to try a variety of coffees that you can afford and find one you like.
154	4.910829544067383	Two women give a demonstration at a Renaissance Fair.	Two people are doing a demonstration at a renaissance fair.
155	3.2403390407562256	Navistar shares were down 44 cents  or 1.1 percent  at $41.19 on the New York Stock Exchange after falling as low as $39.93.	Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.
156	3.3377647399902344	He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.	Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.
157	4.218701362609863	It depends on what you want to do next  and where you want to do it.	It depends on what and where you are going to do.
158	3.7685842514038086	Home office space with bright green walls and artwork.	Small office space with bright green walls.
159	2.9831347465515137	Downstream at Mount Vernon  the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight  Burke said.	The Skagit was expected to crest during the night at 38 feet at Mount Vernon  10 feet above flood stage  the National Weather Service said.
160	3.4724483489990234	I don't see why there should be any problem with this whatsoever.	I don't see why this could be a problem.
161	2.833308696746826	Black and white cows grazing in a pen.	Two black and white cows drinking out of a pond.
162	1.7343204021453857	A brown and white dog is running through the snow.	a brown and white dog is running on the grass.
163	0.38175392150878906	A person is playing a piano.	A person is slicing a potato.
164	3.2563018798828125	A man tries to feed a mouse to a snake.	A man is teasing a snake with a mouse.
165	4.855143070220947	A bird flies across the water.	A bird flies above the water.
166	3.733252763748169	The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.	Under the proposed terms of the transaction  and following the spinoff of PalmSource  Palm will exchange 0.09 shares for each share of Handspring.
167	4.127535820007324	A black dog is jumping out of water.	A black dog is shaking off water.
168	4.155172348022461	A man is playing a musical keyboard.	A man is playing a keyboard piano.
169	3.9572246074676514	A small white dog climbs over a log.	a small dog steps onto a log.
170	1.876939058303833	A man is playing a ukulele.	A man is sitting and playing a small guitar.
171	3.3416950702667236	SCO says the pricing terms for a license will not be announced for weeks.	Details on pricing will be announced within a few weeks  McBride said.
172	4.995650291442871	A person is slicing onions.	Someone is slicing an onion.
173	1.7907363176345825	Three young women standing in a room together.	Three dark haired young women in white  red and black sweaters.
174	2.2865920066833496	I think there isn't a general answer.	I don't think there is an answer for this.
175	1.893725872039795	Unfortunately the answer to your question is we simply do not know.	If the conversation is not about work  you know what the answer is to your own question.
176	0.1351156234741211	Three little girls are sitting on the grass.	Two poodles are running through the snow.
177	0.8891093730926514	Three dolphins are jumping out of a pool in front of a crowd of people.	A man is giving a presentation in front of a lot of people.
178	3.0108063220977783	Before Thursday's matinee  Baker called a clubhouse meeting  concerned that the controversy had distracted the Cubs.	Baker called a pregame meeting  believing the the corked-bat episode had distracted the team.
179	2.5851187705993652	It depends on what they are.	It depends on what they are evaluating  and how.
180	1.3483182191848755	Small child playing with letter P	2 young girls are sitting in front of a bookcase and 1 is reading a book.
181	1.8907781839370728	A car is driven down the road.	A girl is walking down a road.
182	3.7793140411376953	The boy also sprayed the room full of retardant from fire extinguishers  which made it hard to see  the chief said.	The boy fired once into a wall and sprayed the room with fire extinguishers  making it hard to see  the chief said.
183	2.6388814449310303	The baby boy wants his mother.	A baby boy is happy to see his mother.
184	3.26961612701416	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.
185	3.538349151611328	Those conversations had not taken place as of Tuesday night  according to an Oracle spokeswoman.	Those talks have not taken place  according to an Oracle spokeswoman.
186	1.4896252155303955	You just have to base your answer on what you do know  which is what you want.	Remember this is your degree we are talking about  its up to you what you want to do.
187	2.2588953971862793	a small bird sitting on a branch in winter.	A small bird perched on an icy branch.
188	3.1560449600219727	A group of people are dancing.	Women are dancing outside.
189	2.0030336380004883	It's not a good idea.	It's a good idea to do both.
190	2.6059961318969727	He is about to run into the boat	The man is getting his boat clean to take it out on the water.
191	4.745506286621094	A polar bear is running towards a group of walruses.	A polar bear is chasing a group of walruses.
192	0.9300270676612854	You shouldn't feel any obligation at all.	You don't need sauce at all.
193	1.6668314933776855	Six children are cleaning a room.	Two male children cleaning up leaves in a parking lot.
194	2.88450288772583	Researchers found the fossils in a semidesert area of Venezuela  about 250 miles west of Caracas.	Phoberomys' skeleton was unearthed 250 miles west of Caracas  Venezuela.
195	4.525716781616211	A few more point to think about:	A few things to think about:
196	4.776362895965576	A person is slicing some garlic.	A person is dicing a clove of garlic with a knife.
197	3.179316759109497	A skunk is looking here and there.	A skunk looks at the camera.
198	0.47401273250579834	A man is praying.	A man is dancing.
199	1.3544607162475586	You don't have to worry.	You don't have to do anything to season it.
200	0.3710891604423523	A young woman is riding a Bay hose in a dirt riding-ring.	A man is staring at a horse with a white mane.
201	3.6568756103515625	Home office space with bright green walls and artwork.	An office with multiple desks and green walls.
202	1.5221974849700928	A man is playing piano.	A man is playing a violin.
203	3.880995988845825	The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.	The team has named the sensor Canary  for cellular analysis and notification of antigen risks and yields.
204	2.384883403778076	You can use it  too.	You can still use it for practice.
205	2.1135191917419434	It depends on what you want to do next  and where you want to do it.	You need to pick how and where you want to place your foot and do it.
206	3.435363292694092	Frank Quattrone  the former Credit Suisse First Boston technology investment-banking guru  reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.	NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.
207	0.5505390763282776	The kids are at the theater watching a movie.	it is picture day for the boys
208	1.6844521760940552	You just have to base your answer on what you do know  which is what you want.	You have to do what is right for you.
209	2.9702508449554443	I've had this same problem.	I had this same situation.
210	4.643841743469238	Wal-Mart  Kohl's Corp.  Family Dollar Stores Inc.  and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.	Wal- Mart  Kohl's Corp.  Family Dollar Stores Inc.  and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.
211	2.7895467281341553	It depends on what you want to do next  and where you want to do it.	It depends on what you want to say/imply.
212	2.9222586154937744	I'm afraid we are out of luck in this one.	I think this is one of those things where you are just out of luck.
213	3.7482736110687256	A boy climbs a forest hill.	A boy is climbing a hill.
214	0.2777481973171234	A little girl in an orange striped outfit is airborne whilst bouncing on a bed.	A dog in a red shirt is chasing a squirrel through the glass.
215	2.01829195022583	The woman is styling her hair.	The woman is slicing herbs.
216	0.9357726573944092	It's pretty much up to you.	It's much better to ask.
217	4.311119079589844	Under Mexican law  bounty hunting is considered a form of kidnapping.	Bounty hunting is illegal in Mexico  and the bounty hunter was charged with kidnapping.
218	3.7103471755981445	The cat is drinking milk.	A white cat is licking and drinking milk kept on a plate.
219	2.68870210647583	It really doesn't matter.	It doesn't matter unless it is really far off.
220	3.4015023708343506	The government did not identify the taikonauts — a term coined from ‘‘taikong ’’ the Chinese word for space — who would travel on the second mission.	The government did not identify the taikonauts -- a term coined from taikong  the Chinese word for space.
221	4.867594242095947	I think it's fine to ask this question.	I think it is okay to ask the question.
222	3.114138603210449	You can do it  too.	Yes  you can do it.
223	4.8229851722717285	A Philips flat-screen TV is shown with its two remote controls.	A Phillips flat screen TV with two remote controls.
224	3.442767858505249	Zombies parading around eating brains.	The zombies are eating flesh together.
225	1.4802560806274414	A group of kids are having a jumping contest.	A group of kids are having a sleepover.
226	1.143256425857544	You need to read a lot to know what you like and what you don't.	You should tell a good story and sometimes you have to tweak reality/history to do so.
227	2.0018997192382812	A little girl is riding a toy tricycle on springs.	A little girl is playing on a toy outdoors.
228	2.32377552986145	Three dogs running in the dirt.	The yellow dog is running on the dirt road.
229	3.5873026847839355	On July 22  Moore announced he would appeal the case directly to the U.S. Supreme Court.	Moore of Alabama says he will appeal his case to the nation's highest court.
230	1.6882696151733398	Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.
231	1.9350950717926025	The tech-laced Nasdaq Composite Index gained 2.90 points  or 0.18 percent  to 1 606.87.	At 12:10 p.m. EDT  Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6 979.29.
232	0.9806661009788513	A man is hitting a boy with flower vase.	A man is cutting a mat.
233	3.1325933933258057	One  Fort Carson-based Sgt. Ernest Bucklew  33  had been on his way home to attend his mother's funeral in Pennsylvania.	Sgt. Ernest Bucklew  33  was coming home from Iraq to bury his mother in Pennsylvania.
234	0.40880095958709717	A man is playing a guitar.	A man is eating pasta.
235	0.962879478931427	A man in a wet suit is throwing a baby wearing a wet suit up into the air.	A man in a white print shirt and a woman in a black dress dancing.
236	2.9940237998962402	Waksal has pleaded guilty to securities fraud and is to be sentenced next week.	Waksal pleaded guilty to insider trading charges last year  and he is scheduled to be sentenced June 10.
237	5.057511806488037	One person wields an umbrella.	One person is holding an umbrella.
238	4.2404632568359375	One witness told Anatolian he saw the plane on fire while it was still in the air.	One witness told the Anatolian news agency he saw the plane on fire in mid-air.
239	3.1315383911132812	The new analysis found that 32 of the 16 608 participants developed ovarian cancer during about 5 years of follow-up.	The new analysis found that 32 of 16 608 participants developed ovarian cancer in about 5 1/2 years of follow-up  including 20 women taking hormones.
240	3.195218086242676	The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.	Bishop O'Brien  aged 67  had told police he thought he had hit a dog or cat.
241	2.8334803581237793	There are a few things I think you should do.	There are a few minimally-effective things you can do at the personal level.
242	4.231711387634277	A man and a woman is kissing each other.	A man and a woman are hugging and kissing each other.
243	3.491429567337036	Looking to buy the latest Harry Potter?	Harry Potter's latest wizard trick?
244	2.8182084560394287	Several people on motorcycles in a market square.	People on motorbikes in a city street.
245	4.010157585144043	Unfortunately  this question cannot be answered in its full generality.	This cannot be answered in general.
246	3.4133524894714355	You can use it  too.	You can do it  too.
247	3.028463840484619	Two black and white dogs at the bottom of stairs.	A dog is lying at the bottom of a staircase next to another standing dog.
248	0.568401038646698	A pole is behind a person that is playing peekaboo with a child.	There is a child with a ball
249	1.6517030000686646	Yes  it's probably a good idea to renew your passport.	It's a good idea.
250	1.9704294204711914	A man is working on his farm.	An old guy is working on his farm and a cow kicks him.
251	3.4758543968200684	Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.	Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday  leaving two dead as a popular uprising against the President spread.
252	1.290878176689148	The technology-laced Nasdaq Composite Index .IXIC shed 15 points  or 0.98 percent  to 1 492.	The broader Standard & Poor's 500 Index <.SPX> edged down 9 points  or 0.98 percent  to 921.
253	2.890983819961548	"""They said they had concluded that the film failed """"to present a balanced portrayal"""" of the Reagans."""	"""CBS said the show """"does not present a balanced portrayal of the Reagans for CBS and its audience."""
254	4.341797828674316	It''s absurd  Funny Cide's trainer Barclay Tagg said.	"""Meanwhile  Funny Cide's trainer  Barclay Tagg  called the allegations """"ridiculous."""""""
255	1.1360135078430176	You have to decide what you want to get out of this.	You're probably going to have to read various blogs to get all the information you want.
256	2.5242228507995605	National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.	National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.
257	2.3830628395080566	A man is putting garlic on some bread slices.	A man is sprinkling seasoning on several split and buttered loaves of bread.
258	4.970328330993652	The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.	The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.
259	1.2178603410720825	A man is driving a car.	A man is riding a horse.
260	4.579601764678955	The next court session will be when the three-judge tribunal announces its verdict in mid-February.	The court's three-judge tribunal was expected to give its verdict next February.
261	1.5456693172454834	Two dogs play in the grass.	Two dogs playing in the snow.
262	3.567747116088867	A woman riding a brown horse.	A girl riding a brown horse.
263	0.6870539784431458	The train heads down the tracks and along the hedge.	a dog on the floor of a patio looks at a cat on the fence.
264	2.392756462097168	The best thing you can do is to know your stuff.	The best thing you can do is find something else interesting to do while you wait on hold.
265	3.83034348487854	Taylor's aides warn an abrupt departure could trigger more chaos  a view shared by many in Liberia and  in private  even by mediators.	His aides warn an abrupt departure could trigger more bloodshed  a view shared by many in Liberia.
